group,key,ko,en,status,notes
common,common.skipToContent,본문으로 건너뛰기,Skip to content,ok,
common,common.menuToggle,메뉴 열기,Open menu,ok,
common,common.primaryNavigation,주요 메뉴,Primary navigation,ok,
common,common.languageSwitch,언어 전환,Language switch,ok,
common,common.lang.ko,KO,KO,ok,
common,common.lang.en,EN,EN,ok,
common,common.exploreSection,섹션 보기,Explore section,ok,
common,common.readMore,자세히 보기,Read more,ok,
common,common.learnMore,프로그램 보기,View program,ok,
common,common.viewOpening,포지션 보기,View opening,ok,
common,common.viewInterview,인터뷰 읽기,Read interview,ok,
common,common.viewRole,직무 보기,View role,ok,
common,common.backToList,목록으로 돌아가기,Back to list,ok,
footer,footer.description,반도체와 디지털 혁신이 만나는 채용 브랜딩 경험을 제공합니다.,A recruiting brand experience where semiconductor innovation meets digital transformation.,ok,
footer,footer.copy,All rights reserved.,All rights reserved.,ok,
nav,nav.company,Company,Company,ok,
nav,nav.company.newsroom,뉴스룸,Newsroom,ok,
nav,nav.company.story,스토리,Story,ok,
nav,nav.company.campus,캠퍼스,Campus,ok,
nav,nav.job,Job,Job,ok,
nav,nav.job.intro,직무 소개,Role overview,ok,
nav,nav.job.interview,직무 인터뷰,Role interviews,ok,
nav,nav.culture,Culture,Culture,ok,
nav,nav.culture.working,일하는 문화,Ways of working,ok,
nav,nav.culture.benefits,복지 제도,Benefits,ok,
nav,nav.apply,Apply,Apply,ok,
nav,nav.apply.hyway,월간 hy-way,Monthly hy-way,ok,
nav,nav.apply.openings,채용 공고,Open roles,ok,
nav,nav.apply.process,채용 절차,Hiring process,ok,
nav,nav.apply.faq,FAQ,FAQ,ok,
seo,seo.site.suffix,Talent Hub,Talent Hub,ok,
seo,seo.home.title,Talent Hub | 미래를 함께 만드는 커리어,Talent Hub | Careers built for the future,ok,
seo,seo.home.description,"직무, 문화, 채용 여정을 한 번에 탐색할 수 있는 다국어 채용 브랜딩 사이트입니다.","A multilingual recruiting and employer-brand site that connects roles, culture, and the hiring journey.",ok,
seo,seo.company.newsroom.title,뉴스룸 | Talent Hub,Newsroom | Talent Hub,ok,
seo,seo.company.newsroom.description,"브랜드와 기술, 사람 이야기를 에디토리얼 카드 구조로 살펴보는 뉴스룸 페이지입니다.","An editorial-style newsroom page for brand, technology, and people stories.",ok,
seo,seo.company.story.title,스토리 | Talent Hub,Story | Talent Hub,ok,
seo,seo.company.story.description,구성원과 팀의 성장 장면을 브랜드 스토리 방식으로 소개합니다.,Stories about how people and teams grow together.,ok,
seo,seo.company.campus.title,캠퍼스 | Talent Hub,Campus | Talent Hub,ok,
seo,seo.company.campus.description,업무 공간과 협업 환경을 탐색할 수 있는 캠퍼스 소개 페이지입니다.,Explore workspaces and collaboration environments across the campus experience.,ok,
seo,seo.job.intro.title,직무 소개 | Talent Hub,Role Overview | Talent Hub,ok,
